ID,Amt Requested,Amt Funded,Length,Monthly Pmt,Pmts to Date,State,Income,Open LoC,Total LoC,Employ,Purpose,FICO,Home,Utilization,Rate,D/I,Standing,Balance,Delinquent,Months
1,3300,3300,36 months,111.29,1110.1,KY,1700,6,15,6,Renewable Energy,660-680,Mortgage,8.70%,13.06%,6.59%,Currently paying,624,1,6
2,4800,4800,36 months,157.13,1095.99,CO,1650,3,12,n/a,Moving,716-750,Rent,0.00%,10.99%,23.70%,Currently paying,0,0,
3,8700,8700,36 months,272.15,5432.2,FL,5416.67,11,20,3,Consolidate Debt,716-750,Own,31.10%,7.88%,13.38%,Currently paying,8568,0,
4,12300,1325,36 months,417.25,13535.28,CA,2667,15,22,3,Consolidate Debt,681-715,Rent,29.10%,13.47%,22.08%,Paid,10543,0,
5,11200,11200,36 months,343.89,1030.65,NY,4333.33,13,26,n/a,Consolidate Debt,716-750,Rent,57.00%,6.62%,11.38%,Currently paying,21379,0,
6,9600,9600,36 months,297.7,3264.36,KS,7116,9,32,9,Consolidate Debt,716-750,Rent,58.30%,7.29%,29.65%,Currently paying,15866,0,
7,21000,21000,60 months,573.81,0,MI,7416.67,10,32,10+,Home Improvement,660-680,Mortgage,41.50%,21.48%,3.71%,No payment due,13784,0,31
8,10000,10000,36 months,330.76,1321.44,NY,10000,6,22,2,Consolidate Debt,681-715,Rent,26.50%,11.71%,7.77%,Currently paying,2228,1,12
9,20000,20000,60 months,497.7,6956.46,PA,8583.33,18,28,3,Consolidate Debt,681-715,Mortgage,74.40%,17.06%,18.26%,Currently paying,6402,0,36
10,2000,2000,60 months,49.46,540.43,AK,6500,13,51,10+,Consolidate Debt,660-680,Rent,91.60%,16.77%,24.40%,Currently paying,35078,2,20
11,7000,7000,36 months,231.54,231.12,TX,8750,8,27,10+,Consolidate Debt,681-715,Mortgage,81.70%,11.71%,11.98%,Currently paying,8983,0,
12,8000,8000,36 months,260.59,260.02,IL,5416.67,12,22,1,Credit Card,716-750,Rent,36.10%,10.65%,25.59%,Currently paying,10058,0,
13,20000,20000,60 months,461.34,9218.2,CA,12333.33,13,34,10+,Credit Card,716-750,Mortgage,66.10%,13.61%,17.78%,Currently paying,58557,0,
14,10000,10000,36 months,304.36,0,SC,7666.67,11,24,< 1,Credit Card,751-780,Mortgage,48.00%,6.03%,14.23%,No payment due,23556,0,
15,12000,12000,36 months,386.7,386.14,PA,3750,7,17,3,Credit Card,716-750,Mortgage,89.30%,9.91%,8.75%,Currently paying,12853,0,
16,13250,13250,36 months,431.6,862.58,OH,2916.67,11,25,4,Consolidate Debt,716-750,Rent,58.70%,10.65%,24.93%,Currently paying,13392,0,
17,12000,12000,36 months,375.37,13295.72,MN,16666.67,10,24,4,Car Loan,751-780,Mortgage,25.40%,7.88%,3.02%,Paid,54526,0,
18,6000,6000,36 months,181.97,2896.96,CA,4166.67,12,25,4,Credit Card,751-780,Rent,10.50%,5.79%,18.94%,Currently paying,6728,0,
19,12000,12000,36 months,373.22,2237.7,TX,9333,5,22,1,Consolidate Debt,751-780,Rent,33.30%,7.49%,11.93%,Currently paying,12643,0,
20,9600,9600,60 months,229.8,2519.77,TX,3500,8,21,5,Wedding,681-715,Rent,73.30%,15.28%,5.20%,Currently paying,5569,1,3
21,14000,14000,36 months,469.93,10778.49,WI,7500,11,41,9,Other,681-715,Mortgage,69.70%,12.73%,24.39%,Currently paying,28304,0,31
22,6000,6000,36 months,190.47,2661.4,NJ,4333.33,17,24,3,Credit Card,681-715,Mortgage,14.20%,8.88%,12.18%,Currently paying,6950,1,12
23,14800,14775,36 months,538.98,5387.4,FL,5000,3,32,7,small_business,716-750,Mortgage,66.70%,18.53%,1.58%,Extremely late/charged off/default,8476,0,
24,9000,9000,36 months,290.03,1445.75,SC,2500,5,10,2,Consolidate Debt,716-750,Rent,72.10%,9.91%,17.64%,Currently paying,9517,0,
25,12000,12000,60 months,304.66,2123.52,TX,3916.67,8,8,< 1,Consolidate Debt,660-680,Rent,34.10%,17.99%,23.44%,Currently paying,8860,0,
26,17000,17000,60 months,370.56,3686.6,WISC,7333.33,17,45,10+,Consolidate Debt,751-780,Rent,25.80%,11.11%,16.62%,Currently paying,10333,0,
27,15000,15000,60 months,323.53,1290.52,FL,6325,8,16,10+,Consolidate Debt,751-780,Mortgage,22.30%,10.65%,14.10%,Currently paying,53402,0,
28,21000,21000,60 months,491.58,0,FL,4583.33,10,22,1,Consolidate Debt,681-715,Mortgage,82.20%,14.27%,8.42%,Currently paying,13886,0,
29,19150,15850,36 months,489.33,3422.72,PA,6591.67,9,14,4,Credit Card,751-780,Mortgage,23.10%,6.99%,5.69%,Currently paying,18578,0,
30,20000,20000,60 months,510.6,6092.28,AZ,6250,9,35,3,Credit Card,681-715,Rent,94.50%,18.25%,20.03%,Currently paying,10761,0,65
31,7500,1203.06,36 months,247.65,8914.99,RI,2666.67,10,20,2,Other,681-715,Mortgage,45.30%,11.59%,13.91%,Paid,2131,0,54
32,20000,20000,60 months,523.45,0,IL,7500,21,34,5,Consolidate Debt,660-680,Rent,78.30%,19.42%,9.49%,No payment due,17677,0,
33,14125,14125,36 months,475.86,2376.85,WA,3866.67,3,7,6,Consolidate Debt,681-715,Rent,87.40%,12.99%,9.83%,Currently paying,13802,0,
34,3000,3000,36 months,100.64,200.82,MD,2800,5,12,3,Other,660-680,Rent,24.90%,12.69%,10.89%,Currently paying,2510,0,26
35,12000,12000,36 months,402.49,4409.79,TX,6250,11,17,5,Consolidate Debt,681-715,Rent,63.00%,12.68%,22.58%,Currently paying,19991,0,
36,2000,2000,36 months,65.15,64.87,VA,4000,9,18,2,Consolidate Debt,681-715,Rent,47.50%,10.65%,14.08%,Currently paying,3369,0,25
37,9600,9600,36 months,335.71,2345,NV,5000,10,17,5,Consolidate Debt,660-680,Rent,34.40%,15.62%,6.76%,Extremely late/charged off/default,7567,1,9
38,8000,8000,36 months,259.53,2852.08,MO,4833.33,11,21,4,Consolidate Debt,681-715,Rent,74.80%,10.37%,20.26%,Currently paying,10029,3,20
39,3600,3600,36 months,112.29,3685.44,MA,5000,9,19,3,Home Improvement,751-780,Mortgage,9.90%,7.68%,0.50%,Currently paying,2599,0,
40,5000,5000,36 months,155.56,2481.12,FL,9166.67,14,26,2,Medical Expenses,716-750,Mortgage,36.10%,7.51%,15.05%,Currently paying,113251,0,
